name,gas,temp,pressure,cutoff,path,henry_coeff,source_chunk
OCILEU_clean,argon,293.0,5.0,14.0,OCILEU_clean_argon_293.0K_5.0bar_14.0/Output/System_0,6.65558e-06,chunk_1
IJENOB_clean,argon,293.0,5.0,14.0,IJENOB_clean_argon_293.0K_5.0bar_14.0/Output/System_0,6.05514e-05,chunk_1
ATEZAC_clean,argon,293.0,5.0,14.0,ATEZAC_clean_argon_293.0K_5.0bar_14.0/Output/System_0,3.61982e-06,chunk_1
ja5109535_si_002_clean,argon,293.0,5.0,14.0,ja5109535_si_002_clean_argon_293.0K_5.0bar_14.0/Output/System_0,7.31639e-06,chunk_1
KINMUR_clean,argon,293.0,5.0,14.0,KINMUR_clean_argon_293.0K_5.0bar_14.0/Output/System_0,2.29548e-05,chunk_1
jacs.6b01663_ja6b01663_si_002_clean,argon,293.0,5.0,14.0,jacs.6b01663_ja6b01663_si_002_clean_argon_293.0K_5.0bar_14.0/Output/System_0,3.05381e-06,chunk_1
AFOTUL_clean,argon,293.0,5.0,14.0,AFOTUL_clean_argon_293.0K_5.0bar_14.0/Output/System_0,4.75525e-06,chunk_1
LIXXEW_clean,argon,293.0,5.0,14.0,LIXXEW_clean_argon_293.0K_5.0bar_14.0/Output/System_0,1.15692e-05,chunk_1
VOXVAH_clean,argon,293.0,5.0,14.0,VOXVAH_clean_argon_293.0K_5.0bar_14.0/Output/System_0,1.03513e-05,chunk_1
ZADQUT_clean,argon,293.0,5.0,14.0,ZADQUT_clean_argon_293.0K_5.0bar_14.0/Output/System_0,0.000104016,chunk_1
BETGIS_clean,argon,293.0,5.0,14.0,BETGIS_clean_argon_293.0K_5.0bar_14.0/Output/System_0,2.47606e-06,chunk_1
ODIXIK_clean,argon,293.0,5.0,14.0,ODIXIK_clean_argon_293.0K_5.0bar_14.0/Output/System_0,4.47544e-06,chunk_1
CEGWER_clean,argon,293.0,5.0,14.0,CEGWER_clean_argon_293.0K_5.0bar_14.0/Output/System_0,5.53531e-06,chunk_1
AYOXUJ_clean,argon,293.0,5.0,14.0,AYOXUJ_clean_argon_293.0K_5.0bar_14.0/Output/System_0,1.17554e-06,chunk_1
AGONEQ_clean,argon,293.0,5.0,14.0,AGONEQ_clean_argon_293.0K_5.0bar_14.0/Output/System_0,3.58732e-06,chunk_1
LAWGUO_clean,argon,293.0,5.0,14.0,LAWGUO_clean_argon_293.0K_5.0bar_14.0/Output/System_0,1.695e-06,chunk_1
AFUKIX_clean,argon,293.0,5.0,14.0,AFUKIX_clean_argon_293.0K_5.0bar_14.0/Output/System_0,3.78026e-06,chunk_1
AVAJUE_clean,argon,293.0,5.0,14.0,AVAJUE_clean_argon_293.0K_5.0bar_14.0/Output/System_0,4.34142e-06,chunk_1
ASACON_clean,argon,293.0,5.0,14.0,ASACON_clean_argon_293.0K_5.0bar_14.0/Output/System_0,3.8938e-06,chunk_1
EDUVAA_clean,argon,293.0,5.0,14.0,EDUVAA_clean_argon_293.0K_5.0bar_14.0/Output/System_0,5.29376e-06,chunk_1
CIYZUG_clean,argon,293.0,5.0,14.0,CIYZUG_clean_argon_293.0K_5.0bar_14.0/Output/System_0,1.03971e-06,chunk_1
SAMXUC_clean,argon,293.0,5.0,14.0,SAMXUC_clean_argon_293.0K_5.0bar_14.0/Output/System_0,2.10849e-06,chunk_1
XEVHAJ_clean,argon,293.0,5.0,14.0,XEVHAJ_clean_argon_293.0K_5.0bar_14.0/Output/System_0,1.08633e-05,chunk_1
NIXKIQ_clean,argon,293.0,5.0,14.0,NIXKIQ_clean_argon_293.0K_5.0bar_14.0/Output/System_0,9.73132e-06,chunk_1
BUWMEN_clean,argon,293.0,5.0,14.0,BUWMEN_clean_argon_293.0K_5.0bar_14.0/Output/System_0,1.84022e-06,chunk_1
cm071462f-file004_clean,argon,293.0,5.0,14.0,cm071462f-file004_clean_argon_293.0K_5.0bar_14.0/Output/System_0,5.11162e-06,chunk_1
FUVDEH03_clean,argon,293.0,5.0,14.0,FUVDEH03_clean_argon_293.0K_5.0bar_14.0/Output/System_0,2.25602e-06,chunk_1
OQUFAJ01_clean,argon,293.0,5.0,14.0,OQUFAJ01_clean_argon_293.0K_5.0bar_14.0/Output/System_0,2.95375e-06,chunk_1
j.jssc.2015.08.048_mmc2_clean,argon,293.0,5.0,14.0,j.jssc.2015.08.048_mmc2_clean_argon_293.0K_5.0bar_14.0/Output/System_0,4.26751e-05,chunk_1
PIBPAS_clean,argon,293.0,5.0,14.0,PIBPAS_clean_argon_293.0K_5.0bar_14.0/Output/System_0,2.46387e-06,chunk_1
LEJCEK_clean,argon,293.0,5.0,14.0,LEJCEK_clean_argon_293.0K_5.0bar_14.0/Output/System_0,3.32433e-06,chunk_1
DUNYOC_clean,argon,293.0,5.0,14.0,DUNYOC_clean_argon_293.0K_5.0bar_14.0/Output/System_0,3.39647e-06,chunk_1
CUGYIO_clean,argon,293.0,5.0,14.0,CUGYIO_clean_argon_293.0K_5.0bar_14.0/Output/System_0,7.24657e-07,chunk_1
NOMPOW_clean,argon,293.0,5.0,14.0,NOMPOW_clean_argon_293.0K_5.0bar_14.0/Output/System_0,3.40725e-06,chunk_1
ZOKGAJ_clean,argon,293.0,5.0,14.0,ZOKGAJ_clean_argon_293.0K_5.0bar_14.0/Output/System_0,2.08621e-06,chunk_1
CETFOX_clean,argon,293.0,5.0,14.0,CETFOX_clean_argon_293.0K_5.0bar_14.0/Output/System_0,2.04004e-06,chunk_1
GASTIG_clean,argon,293.0,5.0,14.0,GASTIG_clean_argon_293.0K_5.0bar_14.0/Output/System_0,2.25268e-05,chunk_1
BINCUY_manual,argon,293.0,5.0,14.0,BINCUY_manual_argon_293.0K_5.0bar_14.0/Output/System_0,3.4531e-06,chunk_1
