train_ratio,qt_frac,seed,R2,MAE,RMSE,MAPE(%)
0.5,0.0,2026,0.9566917122133578,0.17767682095693488,0.0807154495825021,6.250905634098232
0.5,0.0,2027,0.9639879735030223,0.16905575458433228,0.0693914718333893,6.023805247108671
0.5,0.0,2028,0.9565117604911937,0.177407629533881,0.08425897385218449,6.47563784726594
0.5,0.0,2029,0.9681929621459451,0.1663196598986877,0.059165725956461065,5.96769112281382
0.5,0.25,2025,0.9607488575288864,0.16797946067846783,0.06698608405605032,5.607570549255785
0.5,0.25,2026,0.9631894430891383,0.16967165861376987,0.06278255858439005,5.61490606115016
0.5,0.25,2027,0.9651733787150574,0.16745520963419874,0.060139227526630736,5.66661501641657
0.5,0.25,2028,0.9638874583715105,0.16771854200587583,0.06085606158011191,5.566317133045049
0.5,0.25,2029,0.9586222464852926,0.16930508779659179,0.07129972766320895,5.677078298148584
0.5,0.5,2025,0.961027120687181,0.16826697389882447,0.05831870193739601,5.489531199978247
0.5,0.5,2026,0.9532080589053636,0.1716710699927736,0.0707364902790101,5.526595387098019
0.5,0.5,2027,0.9512842977927773,0.1759303081718596,0.07437517492419347,5.7284369469033125
0.5,0.5,2028,0.9600958123442849,0.17183942681974373,0.06084890025650878,5.602524446199335
0.5,0.5,2029,0.951415385865061,0.17298428236106417,0.07344272337231035,5.607921637064453
0.55,0.0,2025,0.963608856320152,0.16903468667148122,0.07035436335387382,5.9290102481989555
0.55,0.0,2026,0.9588918430561737,0.17618631988264719,0.07921683499840611,6.159994406665024
0.55,0.0,2027,0.9603295645902682,0.17225462186310456,0.07503869138446492,6.059277321996311
0.55,0.0,2028,0.9568516370753443,0.1744339702637527,0.08366005095673681,5.86337829827587
0.55,0.0,2029,0.9580233418966158,0.17494251702864944,0.0822993190198304,5.981247443711307
0.55,0.28,2025,0.9635618590992614,0.16915445478355232,0.06065764435058503,5.522660597672805
0.55,0.28,2026,0.9656751313767664,0.1645463898044534,0.05699237913043317,5.558533787699843
0.55,0.28,2027,0.9564135038123796,0.16605130548796862,0.07212777392389941,5.414169975498606
0.55,0.28,2028,0.9647574305035119,0.1676891829715749,0.058767169399123256,5.560564687256302
0.55,0.28,2029,0.9666144144031426,0.16585953279268276,0.05602342967737165,5.519139483522999
0.55,0.55,2025,0.956243831676562,0.16947177194489893,0.06551092067262317,5.549040454025924
0.55,0.55,2026,0.9632178143534962,0.1697990985997692,0.057131689092255286,5.5761941473632985
0.55,0.55,2027,0.9625282321953429,0.1679134383889248,0.05647080660433355,5.501690347928847
0.55,0.55,2028,0.9616071748500665,0.16632543271627362,0.05496020500602419,5.4415304044158
0.55,0.55,2029,0.9588514438977493,0.17122308214352322,0.06102164694258904,5.514284255551067
0.6,0.0,2025,0.9628750491857885,0.17266509394390755,0.07146762077708045,6.113672040724937
0.6,0.0,2026,0.9601309771106472,0.17103539922303165,0.07563161097678787,5.9289827929729855
0.6,0.0,2027,0.9611508229317883,0.17616871973713522,0.07252469510038435,6.203931688816542
0.6,0.0,2028,0.9670817782397995,0.1678754597840124,0.06348915716125622,5.936115714338653
