name,gas,temp,pressure,cutoff,path,henry_coeff,source_chunk
MITSAK_clean,argon,273.0,5.0,14.0,MITSAK_clean_argon_273.0K_5.0bar_14.0/Output/System_0,6.68024e-06,chunk_1
ILIFUE_clean,argon,273.0,5.0,14.0,ILIFUE_clean_argon_273.0K_5.0bar_14.0/Output/System_0,7.15481e-06,chunk_1
YARZEZ03_clean,argon,273.0,5.0,14.0,YARZEZ03_clean_argon_273.0K_5.0bar_14.0/Output/System_0,2.28562e-06,chunk_1
DUHXIP_clean,argon,273.0,5.0,14.0,DUHXIP_clean_argon_273.0K_5.0bar_14.0/Output/System_0,9.89455e-06,chunk_1
DUJRAD_clean,argon,273.0,5.0,14.0,DUJRAD_clean_argon_273.0K_5.0bar_14.0/Output/System_0,6.59136e-06,chunk_1
XALCOD_clean,argon,273.0,5.0,14.0,XALCOD_clean_argon_273.0K_5.0bar_14.0/Output/System_0,6.28272e-06,chunk_1
TIMMEI_clean,argon,273.0,5.0,14.0,TIMMEI_clean_argon_273.0K_5.0bar_14.0/Output/System_0,1.15258e-05,chunk_1
TOFQEM_clean,argon,273.0,5.0,14.0,TOFQEM_clean_argon_273.0K_5.0bar_14.0/Output/System_0,1.17073e-05,chunk_1
MAVNUU_manual,argon,273.0,5.0,14.0,MAVNUU_manual_argon_273.0K_5.0bar_14.0/Output/System_0,9.45642e-06,chunk_1
SAQSOU_clean,argon,273.0,5.0,14.0,SAQSOU_clean_argon_273.0K_5.0bar_14.0/Output/System_0,2.60769e-06,chunk_1
EGATOW_clean,argon,273.0,5.0,14.0,EGATOW_clean_argon_273.0K_5.0bar_14.0/Output/System_0,6.25267e-06,chunk_1
LAWGOG_clean,argon,273.0,5.0,14.0,LAWGOG_clean_argon_273.0K_5.0bar_14.0/Output/System_0,3.22934e-06,chunk_1
BEXREC_clean,argon,273.0,5.0,14.0,BEXREC_clean_argon_273.0K_5.0bar_14.0/Output/System_0,2.83536e-06,chunk_1
WURNOO_clean,argon,273.0,5.0,14.0,WURNOO_clean_argon_273.0K_5.0bar_14.0/Output/System_0,2.58052e-06,chunk_1
NIHBAI01_clean,argon,273.0,5.0,14.0,NIHBAI01_clean_argon_273.0K_5.0bar_14.0/Output/System_0,6.55025e-06,chunk_1
QISNAJ_clean,argon,273.0,5.0,14.0,QISNAJ_clean_argon_273.0K_5.0bar_14.0/Output/System_0,2.83092e-06,chunk_1
AXUHAD_clean,argon,273.0,5.0,14.0,AXUHAD_clean_argon_273.0K_5.0bar_14.0/Output/System_0,4.15801e-06,chunk_1
MODJOG_clean,argon,273.0,5.0,14.0,MODJOG_clean_argon_273.0K_5.0bar_14.0/Output/System_0,2.89884e-06,chunk_1
QUQWUW_clean,argon,273.0,5.0,14.0,QUQWUW_clean_argon_273.0K_5.0bar_14.0/Output/System_0,6.93483e-06,chunk_1
OTEGUR_clean,argon,273.0,5.0,14.0,OTEGUR_clean_argon_273.0K_5.0bar_14.0/Output/System_0,1.16259e-05,chunk_1
WIPLOY_clean,argon,273.0,5.0,14.0,WIPLOY_clean_argon_273.0K_5.0bar_14.0/Output/System_0,1.09154e-05,chunk_1
CEGFAW_clean,argon,273.0,5.0,14.0,CEGFAW_clean_argon_273.0K_5.0bar_14.0/Output/System_0,2.03574e-06,chunk_1
GUBZAF_clean,argon,273.0,5.0,14.0,GUBZAF_clean_argon_273.0K_5.0bar_14.0/Output/System_0,3.11256e-06,chunk_1
HIHFUB_clean,argon,273.0,5.0,14.0,HIHFUB_clean_argon_273.0K_5.0bar_14.0/Output/System_0,6.06379e-06,chunk_1
VEDFIV_clean,argon,273.0,5.0,14.0,VEDFIV_clean_argon_273.0K_5.0bar_14.0/Output/System_0,8.1268e-06,chunk_1
SIVGOV_clean,argon,273.0,5.0,14.0,SIVGOV_clean_argon_273.0K_5.0bar_14.0/Output/System_0,6.23148e-06,chunk_1
UFOFIF_clean,argon,273.0,5.0,14.0,UFOFIF_clean_argon_273.0K_5.0bar_14.0/Output/System_0,1.87982e-06,chunk_1
HICGEG_clean,argon,273.0,5.0,14.0,HICGEG_clean_argon_273.0K_5.0bar_14.0/Output/System_0,6.42154e-06,chunk_1
BIPLIX_clean,argon,273.0,5.0,14.0,BIPLIX_clean_argon_273.0K_5.0bar_14.0/Output/System_0,3.17197e-06,chunk_1
CUTFII_clean,argon,273.0,5.0,14.0,CUTFII_clean_argon_273.0K_5.0bar_14.0/Output/System_0,1.55672e-05,chunk_1
UMODEH_clean,argon,273.0,5.0,14.0,UMODEH_clean_argon_273.0K_5.0bar_14.0/Output/System_0,5.32689e-06,chunk_1
