filename,LCD,PLD,LFPD,cm3_g,ASA_m2_cm3,ASA_m2_g,NASA_m2_cm3,NASA_m2_g,AV_VF,AV_cm3_g,NAV_cm3_g,Has_OMS,HENRY,0.01,0.05,0.1,0.5,1,5,15
CAXSUR_SL,13.20977,6.6958,13.20977,0.618713,2108.92,3408.56,2.69185,4.35072,0.73,1.17987,0.0,0,3.35391e-06,0.0032157661999999,0.0163072008,0.0340589737999999,0.1679819604,0.3358417694,1.5562316806,4.2402599186000005
CAYQIE_clean,11.36799,6.51795,9.97187,0.696086,2497.61,3588.07,0.0,0.0,0.7382,1.0605,0.0,1,4.79822e-06,0.0046706368,0.0239719761,0.0476450926999999,0.2341870294,0.4630003361,2.0303955298,5.1157744885000005
CAYQOK_clean,11.83799,7.63891,11.7221,0.673503,2318.04,3441.77,0.0,0.0,0.7596,1.12783,0.0,1,4.81076e-06,0.0047726452,0.0236759437,0.0479625905999999,0.2352550718,0.4528750719,2.0547138393,5.1929565661
CAYQUQ_clean,11.37885,6.17998,10.24831,0.783377,2242.23,2862.26,0.0,0.0,0.6804,0.868548,0.0,1,4.63442e-06,0.0045754116999999,0.0227751972,0.0463435771,0.2259117882,0.4492870617,1.9581960596,4.755584412
CEDFOI_clean,8.34336,3.84131,8.32866,1.23395,1912.36,1549.78,0.0,0.0,0.6248,0.506341,0.0,1,5.3255e-06,0.0053236523,0.0263996715,0.0521998509,0.2541079508,0.4627866402,1.8390156154,3.8392652239
CEKNIQ_clean,19.34511,12.33787,19.24026,0.450433,1674.23,3716.94,0.0,0.0,0.8472,1.88086,0.0,1,3.21655e-06,0.0032873934999999,0.0156496349,0.0321574997,0.1583396776,0.3160860571,1.5304551876,4.3198999955
CEMKOV_clean,6.14232,4.76606,5.27946,0.925155,1938.38,2095.19,0.0,0.0,0.617,0.666916,0.0,1,9.68247e-06,0.009455471,0.0483897633,0.096326128,0.4664444206,0.8919274351,3.2807611065,5.9034535915
CESFIQ_clean,12.64207,6.13059,12.56929,0.688272,2372.6,3447.18,0.0,0.0,0.7544,1.09608,0.0,1,7.6304e-06,0.0075683007,0.0377005889,0.0751545769,0.3562052943,0.6676720867,2.6033467145,6.1243953987
CESFOW_clean,11.30689,5.72282,11.30689,0.75113,2376.62,3164.06,0.0,0.0,0.7236,0.963349,0.0,1,5.73144e-06,0.0056728082999999,0.0286649991,0.0563650237,0.2740002259,0.5322670672,2.1423151719,5.2279813491
CEYYIQ_clean,8.37126,7.81796,8.37126,2.71612,1505.4,554.246,0.0,0.0,0.6104,0.224732,0.0,1,7.62407e-07,0.0007932458,0.00375286,0.0074743234,0.0384692178,0.075621058,0.3429513016,0.9253628795
cg050585esi20051105_115011_clean,5.11718,3.57473,5.07564,1.4789,549.331,371.446,14.5687,9.85107,0.4246,0.287106,0.0,0,1.31213e-05,0.0128122543999999,0.0622832199,0.1215098342,0.4720841957,0.7509958544,1.6713321781,2.4212673677
cg3002866_si_001_clean,14.19695,6.32486,14.19695,0.780735,2310.25,2959.08,0.0,0.0,0.7264,0.930405,0.0,1,4.63295e-06,0.0045367506,0.0231435337999999,0.0462935433,0.2295453332,0.4427670604,2.1363155188,5.4683136739
cg300979c_si_002_clean,8.05407,6.75932,7.96872,0.960767,1454.92,1514.34,0.0,0.0,0.5674,0.59057,0.0,0,2.41127e-06,0.0022663194,0.0122900122,0.0239282163,0.1204129593999999,0.2327790913,1.0339991188,2.5681644254
cg3015354_si_002_clean,7.32162,4.55611,5.93566,1.50685,1363.44,904.833,0.0,0.0,0.5076,0.336863,0.0,1,1.51237e-06,0.0014934510999999,0.0075665759999999,0.0151295072,0.0759199837,0.1489177602,0.6510080061,1.599093417
cg501141m_si_003_clean,6.52889,4.75513,5.51076,1.08983,1352.45,1240.98,192.247,176.402,0.5792,0.531461,0.0,1,7.72341e-06,0.0077880519999999,0.0383542527999999,0.075804341,0.3613952547,0.6544030371,2.346052781,4.1993372361
CIPLIX_clean,4.16596,3.6754,4.15153,1.12701,1392.79,1235.82,0.0,0.0,0.5518,0.489614,0.0,1,7.25221e-06,0.0074528871,0.0359829621,0.0717848907,0.351699384,0.6761684732,2.6014461174,4.8859045099000005
CIQQIE_clean,6.69548,4.06015,6.67985,1.03219,1589.58,1540.01,0.0,0.0,0.5732,0.555324,0.0,1,7.69413e-06,0.0077485715,0.0380175595,0.0763407932,0.3668796682,0.6907967268,2.5800446082,4.7026883627
cm071462f-file004_clean,6.42322,5.39187,6.42322,1.55223,1810.57,1166.43,0.0,0.0,0.6266,0.403676,0.0,0,5.11162e-06,0.0051302653999999,0.0252229375,0.0505169841,0.2417416418,0.4667622261,1.8016180756,3.5971467795
COJMOF02_clean,7.77133,6.76319,7.77133,0.912847,1827.53,2002.01,0.0,0.0,0.6452,0.7068,0.0,0,4.69084e-06,0.0045545,0.0238828008,0.046664742,0.2290845507,0.4438862499,1.8908992299,4.3647480202
comp2_clean,6.3721,5.81224,6.36767,1.69788,895.639,527.505,0.0,0.0,0.47,0.276816,0.0,1,1.95373e-06,0.0019143059,0.009676566,0.0198845744,0.0944972908,0.1801694365,0.7107778908,1.4354164137999998
COQJOJ_clean,7.38214,4.96534,7.38214,1.07307,1447.07,1348.53,0.0720169,0.0671129,0.5318,0.495588,0.0,1,8.04337e-06,0.0081914181,0.0397670383,0.0781413229,0.3539310541,0.6398607507,2.0641114962,3.7489559196
COWDEZ_clean,8.91053,4.46746,8.91053,4.13717,1136.38,274.675,0.0,0.0,0.4164,0.100649,0.000386738,1,2.33482e-06,0.0022986003,0.0113003043,0.0228839866,0.1007163133,0.1797717535,0.5567146685000001,0.9766813783
COXDIE_clean,5.62039,5.35711,5.62039,1.66496,1129.92,678.647,0.152502,0.091595,0.484,0.290697,0.0,1,2.30647e-06,0.0022530297,0.0111731197999999,0.0229017583,0.1111104226999999,0.215110374,0.8513641206999999,1.6761394791
CUFQUR_clean,6.03864,3.8691,6.03864,2.05539,1028.56,500.422,0.0,0.0,0.503,0.244722,0.0,1,8.73485e-07,0.0009121393,0.0042746497999999,0.0087652941,0.0425144494,0.0854769417,0.3795492029,0.8938396279
CUGLIB_clean,5.58062,5.51252,5.58062,2.40243,819.805,341.239,0.0,0.0,0.416,0.173158,0.0,1,6.87214e-07,0.0006552275,0.0035436385999999,0.0070181477,0.0340688241,0.0664409696,0.2971967645,0.6753381695999999
CUGYIO_clean,5.85592,5.75004,5.85592,2.37725,832.973,350.394,0.0,0.0,0.4316,0.181554,0.0,1,7.24657e-07,0.0007198486,0.0037239764,0.0070572208999999,0.0355611197,0.0702190474,0.3117094524,0.6883134773999999
CUGZAH_clean,7.43946,7.40575,7.42884,2.24368,763.393,340.242,0.0,0.0,0.4524,0.201633,0.0,1,6.12635e-07,0.0005725727,0.0029064449,0.0061044359999999,0.0300968831,0.0592935798,0.2659276854,0.6334907733
CUPHIG_clean,11.10015,5.6209,11.10015,0.767516,2426.29,3161.23,0.0,0.0,0.7292,0.950078,0.0,1,5.46423e-06,0.0055775742,0.0276624906999999,0.0540960646,0.2701363212,0.5186977977,2.248039994,5.622522232200001
CUQRUD_clean,5.86918,4.59668,5.81577,0.986332,2188.93,2219.27,0.0,0.0,0.6352,0.644002,0.0,1,7.24839e-06,0.0071348479,0.0363957997,0.0715959458,0.3497377943,0.6846875156,2.7258010558,5.348004849
CUSXIY_clean,15.40731,13.34223,14.58073,0.291845,1568.49,5374.4,0.0,0.0,0.8896,3.04819,0.0,0,3.12571e-06,0.0030953249,0.0154218775,0.0311301252,0.1565897518,0.3155083672,1.5144730108000002,4.4809145249
CUSXOE_clean,17.97302,15.80148,17.15199,0.243844,1288.51,5284.15,0.0,0.0,0.909,3.72779,0.0,1,3.84738e-06,0.0039342716,0.0193074549,0.038635508,0.1914713157,0.3812776038,1.8399448323,5.519717773200001
CUVVOG_clean,8.37247,7.3895,8.37077,1.20081,1241.45,1033.84,0.0,0.0,0.5362,0.446532,0.0,0,5.05277e-06,0.005029242,0.0251973865,0.0508817238999999,0.2486908226,0.4687151208,1.9118191314,3.8370061524
CUWHUZ_clean,16.54325,4.10215,14.7488,0.938804,1933.37,2059.39,0.0,0.0,0.6922,0.737321,0.0,0,6.2401e-06,0.0063472379,0.0314813966,0.0620866532,0.2907812077,0.5705327793,2.341407521,4.9728272385
CUXFUX_clean,5.75656,5.11113,5.75656,1.3231,1207.8,912.854,37.5492,28.3797,0.5462,0.412818,0.0,0,9.08535e-06,0.0091151846999999,0.0455081257,0.0917557715,0.4190064452,0.7970826965,2.8797767238,5.1321577535000005
DACSEI_clean,11.09615,4.22518,11.09615,1.45844,1887.17,1293.96,0.0,0.0,0.625,0.428539,0.0,1,3.58335e-05,0.0343583564,0.1524330043,0.2575198221999999,0.7376526751000001,1.1165586607,3.1483572377999995,5.4968549886
DADXUE_clean,5.25371,3.53655,5.25051,1.61178,698.642,433.459,0.0,0.0,0.4448,0.275968,0.0,1,1.51014e-05,0.0150822346,0.0728043382,0.14184547,0.5409641481,0.8694947682,1.787383029,2.4057640605
DALVEU_clean,5.33631,4.08532,4.88589,1.30265,1571.53,1206.41,0.0,0.0,0.5888,0.452001,0.0,1,5.46924e-06,0.0054651521,0.0271159254,0.0541185835,0.254197461,0.4723998489,1.6977716124000002,3.2712562124
DANZOJ_neutral,11.30814,4.84088,11.28951,0.953196,1460.99,1532.73,328.938,345.089,0.656,0.688211,0.0,0,4.66839e-06,0.0047473735,0.022875813,0.0459344842999999,0.2217238695,0.4124798646,1.5437967958,3.5351498571
DAZCAK_clean,13.11846,6.60097,13.10556,1.02457,1662.31,1622.44,0.0,0.0,0.6408,0.625431,0.0,1,6.26877e-06,0.0059310304,0.0308277627,0.0628989457,0.3004460606,0.584073373,2.1954669247,4.6603085615
DEKPUF_clean,6.975,5.81852,6.975,1.54937,1782.47,1150.45,0.0,0.0,0.6318,0.407778,0.0,0,3.27593e-06,0.0032858228,0.0160919859,0.0322760012,0.1603460846,0.3097716682,1.3008449275,2.7915369748
DEYLOJ_clean,7.45013,4.00626,7.41356,3.76527,1192.03,316.587,7.20509,1.91357,0.4952,0.131518,0.0,1,2.57659e-07,0.0002355647,0.0012658286,0.002552141,0.012607076,0.0254516134,0.1235994163,0.3417429882
DIMQIB_clean,6.20574,4.20467,6.19483,1.06672,2087.42,1956.87,0.0,0.0,0.598,0.560599,0.0,1,1.10351e-05,0.0109441817,0.0550250027,0.1079981713,0.5098039287,0.9235173656,3.1933451394,5.5833124362
DIZVAK_clean,8.12516,5.69593,7.90061,1.15636,2071.75,1791.62,0.0,0.0,0.639,0.552597,0.0,0,1.12449e-05,0.0112642451,0.0564421482,0.1135421971,0.5438461985999999,1.0232222199,3.9625097511,7.0299198725
DOFTID_clean,8.70669,6.70952,8.70669,0.91345,2575.78,2819.83,0.0,0.0,0.7676,0.84033,0.0,1,3.83922e-06,0.0038989184,0.0193012,0.0384895881,0.1896241889,0.3712594515,1.5857132427,3.9395099526
DOFTOJ_clean,8.39259,6.42224,8.39259,0.858615,2621.58,3053.27,0.0,0.0,0.7534,0.87746,0.0,1,5.45986e-06,0.0055234954,0.0272508324,0.0541509037,0.2607518693,0.4986010209,2.0377938999,4.825047902
DOGBAE_clean,25.81792,14.43274,25.36207,0.55407,1540.39,2780.13,0.0,0.0,0.8362,1.5092,0.0,1,4.57818e-06,0.0047632184,0.0226944054,0.0457600732,0.2270019813,0.4480400656,1.9510342654,4.9285328789
DOJXOR_clean,7.78532,7.29613,7.78532,1.02283,1574.02,1538.88,0.0,0.0,0.5858,0.572722,0.0,1,5.16303e-06,0.0051277358,0.0257813468,0.050917225,0.2531095811,0.4874493222,2.1316850857,4.556537591100001
DOMGAP_clean,8.27667,5.74162,8.27274,1.20417,741.315,615.623,530.043,440.172,0.5268,0.437479,0.0,1,5.28928e-06,0.0053495193,0.0265025806,0.0523759150999999,0.2571741519,0.4975535602,1.9450124727,3.838549279
DOTFOJ_clean,9.02668,4.87755,9.02668,0.958168,1617.77,1688.4,0.0,0.0,0.6126,0.639345,0.0,1,6.51215e-06,0.0064944081,0.0325470563,0.0647288713,0.316848655,0.6065981288,2.6119043411,5.5185424082
DUDKIY_clean,7.07907,5.66309,7.05735,0.974059,1868.46,1918.22,0.0,0.0,0.6506,0.667927,0.0,1,5.35912e-06,0.0053467807,0.0268986107,0.0527416795,0.2594649767,0.5082682708,2.1277477628,4.605230596499999
